EventName,Casino,Location,Offer,StartDate,EndDate
$15 Dining & Shopping Rewards,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",,4/16/2025 0:00,4/30/2025 23:59
Daytime Bonus Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",$40 in slot play,4/12/2025 6:00,4/12/2025 18:00
Mystery Bonus Slot Play,ilani,"1 Cowlitz Way, Ridgefield, WA 98642","Win up to $5,000 in slot play; guaranteed $40",4/27/2025 6:00,4/28/2025 5:59
Bonus Visa Gift Card Giveaway,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Free Visa gift card for qualified guests,4/6/2025 10:00,4/6/2025 18:00
Free Cruise Voucher Pickup,ilani,"1 Cowlitz Way, Ridgefield, WA 98642",Complimentary cruise from Norwegian Cruise Line,4/13/2025 12:00,4/13/2025 18:00
$25 Free Play Wednesdays,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$25 Free Play is available each Wednesday when you card in at any machine between 07:00 and 23:59,4/2/2025 7:00,4/2/2025 23:59
$25 Free Play Wednesdays,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$25 Free Play is available each Wednesday when you card in at any machine between 07:00 and 23:59,4/9/2025 7:00,4/9/2025 23:59
$25 Free Play Wednesdays,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$25 Free Play is available each Wednesday when you card in at any machine between 07:00 and 23:59,4/16/2025 7:00,4/16/2025 23:59
$25 Free Play Wednesdays,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$25 Free Play is available each Wednesday when you card in at any machine between 07:00 and 23:59,4/23/2025 7:00,4/23/2025 23:59
$25 Free Play Wednesdays,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$25 Free Play is available each Wednesday when you card in at any machine between 07:00 and 23:59,4/30/2025 7:00,4/30/2025 23:59
Grill Gift Giveaway,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",Collect all four items to be entered to win a Traeger; Limit one gift per week,4/3/2025 13:00,4/3/2025 21:00
Grill Gift Giveaway,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",Collect all four items to be entered to win a Traeger; Limit one gift per week,4/6/2025 13:00,4/6/2025 21:00
Grill Gift Giveaway,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",Collect all four items to be entered to win a Traeger; Limit one gift per week,4/10/2025 13:00,4/10/2025 21:00
Grill Gift Giveaway,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",Collect all four items to be entered to win a Traeger; Limit one gift per week,4/13/2025 13:00,4/13/2025 21:00
Grill Gift Giveaway,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",Collect all four items to be entered to win a Traeger; Limit one gift per week,4/17/2025 13:00,4/17/2025 21:00
Grill Gift Giveaway,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",Collect all four items to be entered to win a Traeger; Limit one gift per week,4/20/2025 13:00,4/20/2025 21:00
Grill Gift Giveaway,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",Collect all four items to be entered to win a Traeger; Limit one gift per week,4/24/2025 13:00,4/24/2025 21:00
Grill Gift Giveaway,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",Collect all four items to be entered to win a Traeger; Limit one gift per week,4/27/2025 13:00,4/27/2025 21:00
"$12,000 Jackpot Drawing",Little Creek Casino,"91 West State Route 108, Shelton, WA 98504","$2,000 at 2pm, $4,000 at 4pm, $6,000 at 6pm; For March jackpot winners of $1,200 or more",4/6/2025 14:00,4/6/2025 18:00
$15 Free Play,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",Free play total up to $60; Redeemable once per week,3/31/2025 0:00,4/6/2025 23:59
$15 Free Play,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",Free play total up to $60; Redeemable once per week,4/7/2025 0:00,4/13/2025 23:59
$15 Free Play,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",Free play total up to $60; Redeemable once per week,4/14/2025 0:00,4/20/2025 23:59
$15 Free Play,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",Free play total up to $60; Redeemable once per week,4/21/2025 0:00,4/27/2025 23:59
1 Free Hotel Room,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",Valid 1 night per week; Mondays through Thursdays only,3/31/2025 0:00,4/24/2025 23:59
$79 Hotel Room Rate,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",Deluxe or premium room rate valid Fridays through Sundays,4/3/2025 0:00,4/27/2025 23:59
Spring Into Cash Drawings,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504","Win up to $5,000; Bonus entries earned throughout the week",4/5/2025 16:00,4/5/2025 21:00
Spring Into Cash Drawings,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504","Win up to $5,000; Bonus entries earned throughout the week",4/12/2025 16:00,4/12/2025 21:00
Spring Into Cash Drawings,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504","Win up to $5,000; Bonus entries earned throughout the week",4/19/2025 16:00,4/19/2025 21:00
Spring Into Cash Drawings,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504","Win up to $5,000; Bonus entries earned throughout the week",4/26/2025 16:00,4/26/2025 21:00
Bloomin' Bucks Hot Seat,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",$500 cash every half hour; Must be actively playing at a slot machine,4/4/2025 15:00,4/4/2025 22:00
Bloomin' Bucks Hot Seat,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",$500 cash every half hour; Must be actively playing at a slot machine,4/11/2025 15:00,4/11/2025 22:00
Bloomin' Bucks Hot Seat,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",$500 cash every half hour; Must be actively playing at a slot machine,4/18/2025 15:00,4/18/2025 22:00
Bloomin' Bucks Hot Seat,Little Creek Casino,"91 West State Route 108, Shelton, WA 98504",$500 cash every half hour; Must be actively playing at a slot machine,4/25/2025 15:00,4/25/2025 22:00
Scratch Frenzy,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579","Match 6 symbols: Win $30,000 tax free; Match 5: $100 free play; Match 4: $50 free play; Match 3: $25 free play; Match 2: $10 free play; No match: $5 free play",4/14/2025 11:00,4/14/2025 18:00
$40 Free Play Offer,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$40 Free Play,3/29/2025 0:00,4/3/2025 23:59
Friday Bonus Free Play,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$40 Free Play,4/4/2025 0:00,4/4/2025 23:59
$40 Free Play Offer,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$40 Free Play,4/5/2025 0:00,4/10/2025 23:59
Friday Bonus Free Play,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$40 Free Play,4/11/2025 0:00,4/11/2025 23:59
$40 Free Play Offer,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$40 Free Play,4/12/2025 0:00,4/17/2025 23:59
Friday Bonus Free Play,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$40 Free Play,4/18/2025 0:00,4/18/2025 23:59
$40 Free Play Offer,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$40 Free Play,4/19/2025 0:00,4/24/2025 23:59
Friday Bonus Free Play,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$40 Free Play,4/25/2025 0:00,4/25/2025 23:59
$40 Free Play Offer,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",$40 Free Play,4/26/2025 0:00,5/1/2025 23:59
Stay'N Play Free Standard Room,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579","1 Free Standard Room, Sun-Fri",3/30/2025 0:00,5/2/2025 23:59
Stay'N Play Free RV Stay,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",2 Free RV Stays,3/29/2025 0:00,5/2/2025 23:59
Aztec Print Travel Set - Week 1,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",Free gift   Week 1,4/6/2025 10:00,4/6/2025 20:00
Aztec Print Travel Set - Week 1,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",Free gift   Week 1,4/8/2025 10:00,4/8/2025 20:00
Aztec Print Travel Set - Week 2,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",Free gift   Week 2,4/13/2025 10:00,4/13/2025 20:00
Aztec Print Travel Set - Week 2,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",Free gift   Week 2,4/15/2025 10:00,4/15/2025 20:00
Aztec Print Travel Set - Week 3,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",Free gift   Week 3,4/20/2025 10:00,4/20/2025 20:00
Aztec Print Travel Set - Week 3,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",Free gift   Week 3,4/22/2025 10:00,4/22/2025 20:00
Aztec Print Travel Set - Week 4,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",Free gift   Week 4,4/27/2025 10:00,4/27/2025 20:00
Aztec Print Travel Set - Week 4,Lucky Eagle Casino,"12888 188th Avenue SW, Rochester, WA 98579",Free gift   Week 4,4/29/2025 10:00,4/29/2025 20:00
Weekly Loyalty Offer,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513",$25 Free Play,4/3/2025 8:00,4/9/2025 23:59
Weekly Loyalty Offer,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513",$25 Free Play,4/10/2025 8:00,4/16/2025 23:59
Weekly Loyalty Offer,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513",$25 Free Play,4/17/2025 8:00,4/23/2025 23:59
Weekly Loyalty Offer,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513",$25 Free Play,4/24/2025 8:00,4/30/2025 23:59
Fortune Wheel Drawing,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win up to $5,000",4/1/2025 18:00,4/1/2025 21:00
Fortune Wheel Drawing,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win up to $5,000",4/5/2025 18:00,4/5/2025 21:00
Fortune Wheel Drawing,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win up to $5,000",4/8/2025 18:00,4/8/2025 21:00
Fortune Wheel Drawing,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win up to $5,000",4/12/2025 18:00,4/12/2025 21:00
Fortune Wheel Drawing,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win up to $5,000",4/15/2025 18:00,4/15/2025 21:00
Fortune Wheel Drawing,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win up to $5,000",4/19/2025 18:00,4/19/2025 21:00
Fortune Wheel Drawing,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win up to $5,000",4/22/2025 18:00,4/22/2025 21:00
Fortune Wheel Drawing,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win up to $5,000",4/26/2025 18:00,4/26/2025 21:00
Fortune Wheel Drawing,Red Wind Casino,"12819 Yelm Hwy. SE, Olympia, WA 98513","Win up to $5,000",4/29/2025 18:00,4/29/2025 21:00
Modern Marilyn Purse Collection: Clutch,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Claim your gift by swiping your Muckleshoot Rewards card at any promotions kiosk,4/3/2025 12:00,4/3/2025 21:00
Modern Marilyn Purse Collection: Clutch,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Claim your gift by swiping your Muckleshoot Rewards card at any promotions kiosk,4/4/2025 10:00,4/4/2025 14:00
Modern Marilyn Purse Collection: Dome Style with Crossbody Strap,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Claim your gift by swiping your Muckleshoot Rewards card at any promotions kiosk,4/10/2025 12:00,4/10/2025 21:00
Modern Marilyn Purse Collection: Dome Style with Crossbody Strap,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Claim your gift by swiping your Muckleshoot Rewards card at any promotions kiosk,4/11/2025 10:00,4/11/2025 14:00
Modern Marilyn Purse Collection: Tote Bag,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Claim your gift by swiping your Muckleshoot Rewards card at any promotions kiosk,4/17/2025 12:00,4/17/2025 21:00
Modern Marilyn Purse Collection: Tote Bag,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Claim your gift by swiping your Muckleshoot Rewards card at any promotions kiosk,4/18/2025 10:00,4/18/2025 14:00
Modern Marilyn Purse Collection: Crossbody,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Claim your gift by swiping your Muckleshoot Rewards card at any promotions kiosk,4/24/2025 12:00,4/24/2025 21:00
Modern Marilyn Purse Collection: Crossbody,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Claim your gift by swiping your Muckleshoot Rewards card at any promotions kiosk,4/25/2025 10:00,4/25/2025 14:00
Bonus Free Play,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Activate your prize at any gaming machine; all participants win free play,4/27/2025 10:00,4/27/2025 18:00
Walmart Gift Card Giveaway,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002",Claim your Walmart gift card at the Muckleshoot Rewards Center,4/20/2025 10:00,4/20/2025 18:00
Free Philips Wireless Earbuds,Muckleshoot Casino,"3402 Auburn Way South, Auburn, WA 98002","Free Philips Wireless Earbuds to first 3,700 guests",4/13/2025 10:00,4/13/2025 19:00
Mother's Day Weekend Giveaway,Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065","100 guests will win the chance to select a designer handbag filled with up to $10,000 Freeplay",5/10/2025 10:00,5/10/2025 22:00
Mother's Day Weekend Giveaway,Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065","100 guests will win the chance to select a designer handbag filled with up to $10,000 Freeplay",5/11/2025 10:00,5/11/2025 22:00
500x Entry Multipliers,Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065","500x drawing entry multipliers to win a designer handbag with up to $10,000 Freeplay",4/18/2025 0:00,4/18/2025 23:59
500x Entry Multipliers,Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065","500x drawing entry multipliers to win a designer handbag with up to $10,000 Freeplay",4/20/2025 0:00,4/20/2025 23:59
500x Entry Multipliers,Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065","500x drawing entry multipliers to win a designer handbag with up to $10,000 Freeplay",4/25/2025 0:00,4/25/2025 23:59
500x Entry Multipliers,Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065","500x drawing entry multipliers to win a designer handbag with up to $10,000 Freeplay",4/27/2025 0:00,4/27/2025 23:59
Early Shopping Dollar Earning,Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065",Earn shopping dollars from 10:00 am to 2:00 pm to use at the October shopping event,4/11/2025 10:00,4/11/2025 14:00
Early Shopping Dollar Earning,Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065",Earn shopping dollars from 10:00 am to 2:00 pm to use at the October shopping event,4/13/2025 10:00,4/13/2025 14:00
Off-Track Betting Launch,Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065",Off-track betting available at the Sportsbook area,4/19/2025 0:00,4/19/2025 23:59
Yuan Tree Wednesdays,Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065","Chance to collect over $10,000 Freeplay",4/2/2025 0:00,4/2/2025 23:59
Yuan Tree Wednesdays,Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065","Chance to collect over $10,000 Freeplay",4/9/2025 0:00,4/9/2025 23:59
Yuan Tree Wednesdays,Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065","Chance to collect over $10,000 Freeplay",4/16/2025 0:00,4/16/2025 23:59
Yuan Tree Wednesdays,Snoqualmie Casino,"37500 SE North Bend Way, Snoqualmie, WA 98065","Chance to collect over $10,000 Freeplay",4/23/2025 0:00,4/23/2025 23:59
